TradeID,Commodity,TradeType,Volume,Price,Currency,DeliveryStart,DeliveryEnd,Periodicity
1,Power,BUY,193.52,191.13,GBP,2025-01-08,2025-01-16,Monthly
2,Gas,BUY,368.68,127.76,GBP,2025-01-29,2025-02-16,Quarterly
3,Power,SELL,86.45,48.08,USD,2025-01-03,2025-01-10,Daily
4,Gas,BUY,38.46,175.91,GBP,2025-01-23,2025-02-13,Daily
5,Coal,BUY,304.55,147.45,EUR,2025-01-09,2025-02-04,Quarterly
6,Power,BUY,20.09,194.58,GBP,2025-01-11,2025-01-20,Monthly
7,Gas,BUY,417.9,58.22,EUR,2025-01-03,2025-01-16,Daily
8,Power,SELL,99.09,53.01,EUR,2025-01-09,2025-02-04,Quarterly
9,Power,SELL,159.08,114.46,GBP,2025-01-30,2025-02-12,Daily
10,Power,SELL,221.65,72.42,GBP,2025-01-29,2025-02-26,Quarterly
11,Oil,BUY,309.81,45.11,GBP,2025-01-02,2025-01-24,Daily
12,Gas,SELL,153.15,85.95,USD,2025-01-28,2025-02-01,Daily
13,Coal,SELL,233.47,161.33,EUR,2025-01-27,2025-02-08,Quarterly
14,Gas,SELL,107.84,112.56,EUR,2025-01-22,2025-01-31,Daily
15,Power,BUY,300.28,28.36,GBP,2025-01-08,2025-01-14,Quarterly
16,Coal,SELL,307.7,50.69,EUR,2025-01-23,2025-02-10,Quarterly
17,Gas,SELL,41.88,190.8,USD,2025-01-27,2025-01-29,Daily
18,Oil,SELL,483.16,165.51,EUR,2025-01-07,2025-02-06,Daily
19,Oil,BUY,159.26,37.58,GBP,2025-01-13,2025-02-11,Monthly
20,Coal,BUY,345.27,99.23,EUR,2025-01-08,2025-02-01,Daily
21,Oil,SELL,69.8,109.13,GBP,2025-01-12,2025-01-20,Monthly
22,Gas,SELL,26.85,183.68,USD,2025-01-28,2025-02-01,Daily
23,Gas,BUY,136.8,139.25,GBP,2025-01-20,2025-01-23,Monthly
24,Coal,SELL,162.74,113.61,GBP,2025-01-17,2025-01-26,Monthly
25,Power,BUY,277.89,53.27,GBP,2025-01-25,2025-02-03,Quarterly
